id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,vector_id,info_id,origin_id,destination_id,network_id,receive_time,status
1,2017-01-20 21:53:22.804542,,,,,,f,,2,2,1,3,1,2017-01-20 21:53:22.811203,received
4,2017-01-20 21:53:23.248383,,,,,,f,,4,4,1,5,1,2017-01-20 21:53:23.253731,received
3,2017-01-20 21:53:22.985337,,,,,,t,2017-01-20 21:53:26.433109,3,3,1,4,1,2017-01-20 21:53:22.998648,received
2,2017-01-20 21:53:22.836319,,,,,,t,2017-01-20 21:54:10.261436,1,1,1,2,1,2017-01-20 21:53:22.864055,received
